TRACE stage=10 rms=2.270170e-2 absmax=5.148634e-1 mean=-1.362812e-4 last=[2.137360e-2,8.211464e-4,-3.195867e-2,-1.803217e-2,-6.100915e-2,1.580929e-2,1.936354e-3,-6.792904e-5,4.424741e-2,-1.053635e-2,1.854862e-2,1.631328e-2,1.234769e-2,1.979011e-2,6.962847e-3,-3.034465e-2]
TRACE stage=11 rms=3.198161e-2 absmax=6.536099e-1 mean=5.380389e-5 last=[4.610788e-3,2.336059e-2,-3.222963e-2,3.597762e-4,-6.569334e-2,3.020369e-2,1.116280e-2,1.453813e-2,3.278758e-2,-1.296059e-2,3.561174e-3,1.635192e-2,8.099054e-3,3.373346e-2,-2.213011e-3,-2.826929e-2]
TRACE stage=12 rms=3.500327e-2 absmax=5.990386e-1 mean=2.312272e-4 last=[2.087064e-3,1.818375e-2,-2.459902e-2,1.321186e-2,-6.009300e-2,2.952399e-2,2.081585e-2,1.742140e-2,6.135853e-2,-7.678150e-3,-2.283087e-3,3.011030e-2,5.868855e-3,2.586376e-2,-9.705601e-4,-3.116854e-2]
TRACE stage=13 rms=3.557898e-2 absmax=6.037557e-1 mean=3.554320e-4 last=[5.545788e-3,7.316512e-3,-2.126263e-2,1.808226e-2,-7.078374e-2,2.829610e-2,3.487944e-2,1.969560e-2,5.911466e-2,-1.329883e-2,1.136637e-3,2.320918e-2,1.189542e-2,4.485400e-2,-2.783961e-3,-2.606646e-2]
TRACE stage=14 rms=3.720584e-2 absmax=6.253839e-1 mean=4.363150e-4 last=[1.243285e-2,4.895501e-3,-1.988247e-2,4.755631e-3,-8.392439e-2,2.542800e-2,6.337468e-3,1.059329e-2,6.201934e-2,-1.303920e-2,-1.069557e-2,2.253345e-3,2.848669e-2,3.499642e-2,4.381009e-4,-4.237531e-2]
TRACE stage=15 rms=5.850840e-2 absmax=1.308432e0 mean=6.856142e-4 last=[7.666359e-4,-3.676483e-3,-1.768145e-2,5.568760e-2,-1.163938e-1,2.026150e-2,-3.497801e-2,-4.399099e-2,6.886052e-2,-8.212568e-2,-2.189423e-3,1.282180e-4,3.842027e-2,1.118759e-2,-1.221760e-2,-2.042827e-2]
TRACE stage=16 rms=6.360044e-2 absmax=1.366671e0 mean=1.222737e-4 last=[1.473860e-2,-2.101671e-2,-2.555561e-2,6.993996e-2,-1.544758e-1,2.042387e-2,-2.512775e-2,-4.855571e-2,6.881642e-2,-8.871289e-2,4.909723e-3,7.698766e-3,6.033370e-2,-1.062164e-2,-1.379569e-2,-3.709658e-3]
TRACE stage=17 rms=7.204621e-2 absmax=1.680130e0 mean=-9.685605e-4 last=[3.025369e-2,-4.440303e-2,-3.974653e-2,4.206569e-2,-2.126465e-1,2.673654e-2,-3.547938e-2,-3.031619e-2,2.898029e-2,-6.417350e-2,-1.855022e-2,4.499353e-2,6.837577e-2,-1.816626e-2,2.559720e-2,1.137461e-2]
TRACE stage=18 rms=8.449196e-2 absmax=2.217230e0 mean=-1.168719e-3 last=[8.660287e-3,-7.161684e-2,-2.987713e-2,8.113992e-2,-2.140308e-1,5.358085e-2,-5.344941e-2,-5.064144e-2,3.398447e-2,-5.359463e-2,-3.353161e-2,4.180551e-2,7.323913e-2,-3.399878e-2,2.995811e-2,1.368606e-3]
TRACE stage=19 rms=1.409396e-1 absmax=3.487170e0 mean=-8.768139e-4 last=[9.906614e-2,-8.380156e-2,1.712447e-1,1.870724e-1,-3.791243e-1,-2.174267e-1,-1.689386e-3,-1.738024e-1,6.809085e-2,-6.636764e-2,-3.040570e-2,7.379382e-2,6.894092e-2,3.648083e-2,1.683615e-1,1.134269e-1]
